rule,C_peak,AUC,scale_entropy,beta_var,entity_scale,C_unified
4,0.00457424612917315,0.015320800197284594,1.979384682883012,1.4550958663092768e-06,2,0.009054179549123006
72,0.004920280231247917,0.014390109614670849,1.6145294511647708,5.395130381852871e-06,1,0.007943894482987096
93,0.007630526598328552,0.012730756314909764,1.0036929186355183,2.9868557649472585e-05,4,0.007658476764547589
92,0.007351968207250015,0.014076494982385461,1.0207474298265173,3.291300682549608e-05,4,0.0075042556640988285
220,0.007485013731898124,0.012251742144580137,0.9641937400397356,3.811877104900441e-06,0,0.00721697587418253
68,0.004581747202636973,0.012024087694580583,1.5738302124003627,1.3126204778976507e-05,1,0.007210797522686013
77,0.0045213402528845505,0.012397002640954481,1.5771524634252518,2.1298237140182775e-06,0,0.007130827730414619
76,0.004199980276830549,0.011777618982731067,1.5824549161362214,2.497262999584123e-06,0,0.006646262839279396
200,0.0036737922491515388,0.00868008680804856,1.5594450033396814,9.044915196524816e-07,0,0.005729071784350572
201,0.005765563402137015,0.008740589553991058,0.9323807789740555,1.839718913415737e-06,0,0.005375690606349134
221,0.004161924159351782,0.007789473813916943,1.0040333166289657,4.398357462920191e-06,4,0.004178692137890439
206,0.005870670929966322,0.007054764511890914,0.6585171147841438,1.8651583459949766e-05,4,0.003865865178141554
232,0.0037843600693619524,0.006326418638771629,0.9803526012590307,1.064249043527004e-06,0,0.003710003289732343
204,0.0024639769627734487,0.004875877780822246,0.9999177142098135,1.2654166633092496e-06,0,0.002463771094785068
136,0.0015841579249874199,0.0027339749340389513,1.5028895430306721,7.430947038299798e-08,0,0.0023808142030557187
163,0.17063875807884588,0.170830494479749,0.013655200696076134,0.006463157899065903,2,0.0023151433510589566
168,0.001470325604362147,0.002821248968695217,1.487476383469526,1.4124149200156275e-08,0,0.0021870745816086837
224,0.0012970806047971045,0.0023596648230729735,1.5742259242695107,4.6042262883817445e-08,0,0.002041897819925181
177,0.25134264339466944,0.2514739701404747,0.006957128624779246,0.01402944621596581,2,0.0017244302968854011
196,0.0055928980718080255,0.005829178461376816,0.2713785579029613,1.9982301556404958e-05,4,0.0015177622848418482
96,0.0008455745852182827,0.0016744656888884205,1.635821079558859,7.520971566526486e-09,0,0.001383208720436232
216,0.009686574903619046,0.00986001708022241,0.13108404019758232,1.9782622768134016e-05,0,0.0012697302554482302
44,0.005369514870235269,0.0055350905086775735,0.2319786052818792,6.4138557363178034e-06,1,0.0012456045815093981
87,0.4816817603614185,0.4817540291486944,0.0021219503458657072,0.05153620050293003,0,0.0009720110230225657
69,0.0007403252626218145,0.0010875190607055108,1.1746648157837958,2.9884934062834576e-08,0,0.0008696340122487888
226,0.0005201365427609286,0.0010661704255052308,1.355876835613411,1.4249565966446888e-08,0,0.0007052410796362082
98,0.3543435874029924,0.3543898494557872,0.0019269590793408171,0.02789207306108557,0,0.0006642775159448231
202,0.008094211635450396,0.008176733658907656,0.08140438589383013,1.411840877448467e-05,0,0.0006588950249292326
56,0.0005717776213818341,0.0007729860824543918,1.0861398819693597,3.793496846886128e-08,0,0.0006210304546416159
40,0.00034638232407999424,0.0006769710737650869,1.6707531640567475,2.214556464291402e-09,0,0.0005787193626483734
162,0.31566984773584994,0.3157013457185463,0.00156037585804749,0.02214174837274489,2,0.0004818936417622225
32,0.00033512679784934474,0.0005509321673641352,1.2200469685381983,6.611014578645164e-09,1,0.00040887043108895824
13,0.0003133677758461145,0.0006578054995694839,1.2997247446772449,1.4636119653566368e-08,4,0.00040729184649049505
155,0.39290915389063147,0.3929333386527604,0.0010003554280759047,0.03430142811648938,0,0.0003800137891629563
160,0.0003431165616392812,0.00044847527229337377,1.0208408250406356,1.2000775760495542e-08,0,0.0003502673896654695
192,0.00029328252468786,0.0003692166327634292,1.0545362244339578,1.7049511842309107e-08,2,0.0003092770410037723
246,0.2509106147870011,0.25092517124192404,0.0009533390009228806,0.013988628049278242,0,0.00023590291666501854
141,0.00016589429905548443,0.00033734761410560105,1.3968939763728836,6.76246116513481e-10,0,0.00023173674690849685
203,0.005690859625427878,0.005711255320826735,0.03727876916219216,7.142069079089435e-06,0,0.00021214672714418506
159,0.1545460394692666,0.15455823607835534,0.0012668662105694963,0.0053069345146178615,0,0.00019475560016452532
175,0.2528668819580594,0.2528780696091415,0.0007476760388500114,0.014208407279444299,2,0.000186413864548712
128,0.00015156051371840787,0.0001978369260651784,1.102361422097732,2.8947861143842172e-09,0,0.00016707446295284207
197,8.53914794212948e-05,0.00022139713001245075,1.5761580122225252,1.1647603555134478e-09,4,0.00013459046430864304
191,0.06798821850593757,0.06799457230301584,0.0014338793236873873,0.0010271662695454985,2,9.73868682638268e-05
243,0.27018138866163477,0.27018687418874054,0.00034576839400103063,0.01622078591275765,0,9.192902383175799e-05
