mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,p,seed,mean_density
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.175,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.175,4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.2,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.2,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.2,2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.2,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.2,4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.225,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.225,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.225,2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.225,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.001025,0.000976,,0.0,0.0,0.0,0.0,0.0,0.0,0.164474,0.010254,,0.225,4,0.0
0.001064,0.002776,0.0,0.001252,8e-06,0.0,0.994827,0.002515,0.001145,,0.0,0.0,0.080459,0.0,0.0,0.0,0.165559,0.025141,,0.25,0,5e-05
0.000137,0.000741,0.0,0.000177,1e-06,1e-06,0.994982,0.00123,0.000996,,0.0,0.0,0.009373,0.0,0.0,0.0,0.164587,0.012304,,0.25,1,6e-06
