model,q,L,T,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
Potts q=3,3,64,1.2,5,1.220328791960711,0.9188388610656035,0.016792151993204427,0.0,0.842951706297402,0.298464196396055,0.2903438370360527,0.8128906250000001,0.15269775390625
Potts q=3,3,64,1.25,0,1.2651285903101683,0.9136954485302854,0.015609385074195249,0.0,0.8504497051783501,0.257814720906132,0.245660913612262,0.79896240234375,0.15571533203125
Potts q=3,3,64,1.25,1,1.1956233254392397,0.92153827943997,0.01684368389878975,0.0,0.8567742587201086,0.2775275939650752,0.2698921785005263,0.7993994140624999,0.1565771484375
Potts q=3,3,64,1.25,2,1.3400525122690425,0.9227438226634311,0.017985206053588193,0.026903615652709156,0.8582390235421963,0.22938987932517677,0.22603776337417075,0.7990258789062501,0.15666259765625
Potts q=3,3,64,1.25,3,1.26940785946597,0.9156984489719054,0.01873621518829223,0.0,0.8521588800066889,0.27272884246701007,0.2625680095962197,0.80076904296875,0.1561962890625
Potts q=3,3,64,1.25,4,1.2780449904714082,0.9143042587990855,0.017351693235103525,0.0,0.850350615618353,0.2890722523566317,0.27444103426767563,0.80070556640625,0.15587646484375
Potts q=3,3,64,1.25,5,1.808644240847303,0.9202635323006735,0.026340570333936747,0.10892601369649269,0.8555074409912367,0.28703048390231783,0.2692712902427324,0.80169677734375,0.156357421875
Potts q=3,3,64,1.3,0,1.5739470597659673,0.9150125477571638,0.021163653028455458,0.04705572825838974,0.8599947270808684,0.21106396517378448,0.20944650967868406,0.78803955078125,0.15797119140625
Potts q=3,3,64,1.3,1,1.4748735415431538,0.9370758812355553,0.011668690411941159,0.17625525716419807,0.8780468802824163,0.258156895880142,0.2550590806869831,0.7869873046875,0.160126953125
Potts q=3,3,64,1.3,2,1.1529787258916577,0.92218919548119,0.014362541865169347,0.0,0.8678628324441439,0.224645660632413,0.21813864482644715,0.7858691406249999,0.15897705078125
Potts q=3,3,64,1.3,3,1.5485680704149438,0.9196843303244829,0.023478803191458446,0.047075538657300374,0.8627030982468643,0.2447709451542566,0.24003374309914352,0.7896289062499999,0.15825927734375
Potts q=3,3,64,1.3,4,1.2554548088548825,0.9101528475827178,0.012723332540350516,0.0,0.8557868403228918,0.2049594962192218,0.20186274248943564,0.7882763671874999,0.1576806640625
Potts q=3,3,64,1.3,5,1.3050774970154482,0.9147223459745075,0.023314410399015238,0.0,0.8574677731990231,0.2431374379760338,0.23629149717283396,0.7906494140625,0.1575927734375
Potts q=3,3,64,1.35,0,2.0419692905849325,0.91294240131334,0.03132872743512473,0.14481701267442748,0.8652507761034371,0.23323546875240103,0.22949701048922355,0.7784692382812499,0.15923583984375
Potts q=3,3,64,1.35,1,1.151888747887761,0.921608180120804,0.01541646956115323,0.0,0.8718711567774987,0.20206396493962905,0.1993232022250658,0.77752197265625,0.1604443359375
Potts q=3,3,64,1.35,2,1.2350400126433572,0.9132834680527256,0.01514502771483489,0.0,0.8653461858729522,0.19853247137631005,0.19434575377180915,0.7780908203125,0.1599609375
Potts q=3,3,64,1.35,3,1.3006777128880502,0.9061451753434321,0.012852471562728505,0.0,0.8593814526455934,0.214021859246574,0.20935333403994574,0.7794873046874999,0.1591748046875
Potts q=3,3,64,1.35,4,1.4422496031985046,0.9259833020398982,0.012750173495739855,0.06468170841069638,0.8766547284043312,0.2139441779473843,0.21258067802788466,0.7746679687500001,0.16092529296875
Potts q=3,3,64,1.35,5,1.1733541467045638,0.9197715709141128,0.016256740695198092,0.0,0.8704029898586801,0.19570653128781715,0.1948917551390994,0.77765625,0.16067138671875
Potts q=3,3,64,1.4,0,1.6708341786259622,0.922075032204952,0.020978110069179746,0.09522549826469244,0.8770729959143143,0.20276003309530224,0.19986876813559942,0.77031494140625,0.161533203125
Potts q=3,3,64,1.4,1,1.2046384408516133,0.9153517048662074,0.014518871815658148,0.0,0.8719757976809529,0.19401897516055291,0.19197261192792736,0.76878662109375,0.1612646484375
Potts q=3,3,64,1.4,2,1.149686034799103,0.9219890748894494,0.013920981126794263,0.0,0.8782252333887461,0.22429402419430985,0.21953364431710254,0.76739501953125,0.16178955078125
Potts q=3,3,64,1.4,3,1.1668225764530313,0.9188169340995214,0.01462062288047071,0.0,0.8755373403797525,0.19304662272474377,0.1920595334570482,0.768046875,0.16162109375
Potts q=3,3,64,1.4,4,1.1291960292062473,0.9217927509969277,0.0146290196310999,0.0,0.876677520700324,0.18982347160212773,0.18459390045399066,0.76986328125,0.16163330078125
Potts q=3,3,64,1.4,5,1.5255790258918096,0.9148284436915116,0.017547245321216876,0.04704731350905581,0.8719645323675508,0.18746022300607107,0.1861034577467291,0.7692797851562501,0.16117919921875
Potts q=3,3,64,1.45,0,1.1679157553969777,0.9156544308910572,0.013860917507895594,0.0,0.8765200220967827,0.17277558610439728,0.17214925797185843,0.760546875,0.1620166015625
Potts q=3,3,64,1.45,1,1.2351671962522868,0.9107452579061628,0.015068170050899086,0.0,0.8714901300668997,0.17841334781985502,0.17775230339351805,0.76157470703125,0.1614453125
Potts q=3,3,64,1.45,2,1.1936290777538725,0.9137745896765849,0.01300541894968595,0.0,0.8751057814150632,0.18157139159956973,0.18000264294662452,0.7597729492187499,0.16189453125
Potts q=3,3,64,1.45,3,1.2134987309532677,0.9116331519161147,0.015927755308541305,0.0,0.8733170626504566,0.1698572369637024,0.16424447055659855,0.7596533203125,0.16166015625
Potts q=3,3,64,1.45,4,1.1913689839102435,0.9159627442347273,0.01672303945816211,0.0,0.8771194092623462,0.17823056042055443,0.17817499510370513,0.759560546875,0.16218017578125
Potts q=3,3,64,1.45,5,1.2389363435087115,0.911271415766923,0.014044446909802093,0.0,0.8717787937772217,0.19085108879899326,0.18971585532318708,0.76099609375,0.161396484375
Potts q=3,3,64,1.5,0,1.0442694591279662,0.9245962317348974,0.01142355673846219,0.0,0.8889500062707117,0.1682621161117631,0.16826139885632885,0.75087646484375,0.16425048828125
Potts q=3,3,64,1.5,1,1.1867899716053936,0.9150044854953802,0.014939157776058962,0.0,0.8800841590968842,0.17853037924670498,0.17844922262503327,0.7528198242187499,0.1629736328125
Potts q=3,3,64,1.5,2,1.0452678831828115,0.9271522373917002,0.012125100815649947,0.0,0.888473550120397,0.1864562231831932,0.18634224209688457,0.75317626953125,0.1636474609375
Potts q=3,3,64,1.5,3,1.1515506347746485,0.9129612291453495,0.012823193190013614,0.0,0.8773999219463483,0.15385612347602654,0.15241097816539553,0.7523779296875,0.162529296875
Potts q=3,3,64,1.5,4,1.1193380731427893,0.9151843166226519,0.009481861428236572,0.0,0.8785915905932643,0.15837865204726453,0.15834898714622708,0.75416015625,0.162607421875
