alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,mi_lag1,mi_decay,gzip,score,w_H,w_OP_s,w_OP_t,w_G
1.0456,0.564,0.689378,0.008838,0.0,0.687991,0.613213,0.530338,0.096953,0.0,1.913182,0.0,0.99653,0.969763
1.0456,0.6604,0.701098,0.009698,0.0,0.700696,0.514784,0.472472,0.106667,0.0,1.9529,0.0,0.998534,0.97206
1.0456,0.7733,0.713098,0.006278,0.0,0.712269,0.433478,0.425574,0.119948,1e-06,1.77341,1e-06,0.998445,0.917088
1.0456,0.9055,0.716926,0.004333,0.0,0.715987,0.314192,0.31399,0.127995,1e-06,1.631312,1e-06,0.984363,0.853147
1.0456,1.0602,0.7174,0.00484,0.0,0.714416,0.199983,0.198645,0.13263,1e-06,1.669545,1e-06,0.923395,0.808128
1.0456,1.2415,0.715437,0.00587,0.0,0.711769,0.112096,0.111363,0.133906,1e-06,1.745323,1e-06,0.648938,0.794582
1.0456,1.4537,0.712621,0.006362,0.0,0.708044,0.070716,0.070286,0.132891,0.0,1.778264,0.0,0.369095,0.805442
1.0456,1.7022,0.709875,0.008063,0.0,0.704961,0.034883,0.034495,0.133021,0.0,1.882864,0.0,0.112509,0.804057
1.0456,1.9932,0.706726,0.009974,0.0,0.703351,0.024056,0.023753,0.133359,0.0,1.962927,0.0,0.056851,0.800448
1.0456,2.3339,0.705771,0.009186,0.0,0.702546,0.013316,0.012717,0.133177,0.0,1.937322,0.0,0.016838,0.802271
1.0456,2.7328,0.705236,0.008963,0.0,0.701922,0.015357,0.015238,0.132135,0.0,1.930332,0.0,0.023201,0.813394
1.0456,3.2,0.704102,0.008885,0.0,0.701108,0.013841,0.013243,0.133099,0.0,1.926311,0.0,0.018719,0.803205
1.3572,0.3,0.688896,0.008758,0.0,0.68851,0.656881,0.584426,0.089193,0.0,1.917495,0.0,0.996542,0.969445
1.3572,0.3513,0.689896,0.008727,0.0,0.689625,0.634396,0.571519,0.089792,0.0,1.915171,0.0,0.997887,0.961378
1.3572,0.4113,0.6858,0.010227,0.0,0.685629,0.620634,0.573844,0.091589,0.0,1.974733,0.0,0.998752,0.982912
1.3572,0.4816,0.688725,0.01001,0.0,0.688475,0.58885,0.553905,0.096146,0.0,1.929927,0.0,0.998625,0.982584
1.3572,0.564,0.687463,0.011205,0.0,0.686241,0.596099,0.531254,0.097786,0.0,1.985422,0.0,0.997061,0.977322
1.3572,0.6604,0.703684,0.007803,0.0,0.702851,0.504966,0.458232,0.112161,0.0,1.864336,0.0,0.998574,0.94303
1.3572,0.7733,0.71042,0.007139,0.0,0.71033,0.436553,0.428249,0.119245,1e-06,1.83058,1e-06,0.998343,0.921698
