rank,rule,wolfram_class,complexity,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip
146,13,C2,0.0,0.988139,0.0,0.0,0.595013,0.993333,0.005956,0.704825,0.0,2e-06,0.170525
147,16,C2,0.0,0.573384,0.0,0.0,0.540287,0.723147,0.011538,1.324652,0.0,0.201724,0.209064
148,17,C2,0.0,0.89328,0.072238,0.271261,0.802358,0.135093,0.02472,0.999954,0.00153,0.0,0.321932
149,19,C2,0.0,0.983029,0.0,0.323553,0.78207,0.0,0.007893,0.914412,0.000159,0.0,0.183282
150,21,C2,0.0,0.973789,0.014104,0.256309,0.665717,0.0596,0.025289,1.69944,0.0,0.0,0.327473
151,23,C2,0.0,0.994964,0.0,0.330772,0.765269,0.0,0.007733,0.326664,3.7e-05,0.0,0.182204
152,24,C2,0.0,0.676239,0.0,0.0,0.613655,0.638382,0.012889,1.324652,0.0,0.766219,0.219222
153,28,C2,0.0,0.999128,0.0,0.327697,0.688725,0.863538,0.007449,0.057739,0.0,0.001872,0.180298
154,31,C2,0.0,0.945933,0.023875,0.310286,0.674784,0.066222,0.02504,1.320417,0.0,0.0,0.325042
155,32,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
156,33,C2,0.0,0.929653,0.060832,0.310962,0.758672,0.193369,0.007804,0.99824,3.1e-05,8e-06,0.182683
157,36,C2,0.0,0.323457,0.0,0.0,0.317235,0.993333,0.006667,1.324652,0.0,2e-06,0.175131
158,37,C2,0.0,0.947197,0.033279,0.324664,0.78475,0.230427,0.008604,1.018658,0.00019,7.1e-05,0.188129
159,40,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
160,44,C2,0.0,0.655664,0.0,0.0,0.600796,0.993333,0.006258,1.324652,0.0,2e-06,0.172472
161,50,C2,0.0,0.99959,0.0,0.33154,0.760107,0.0,0.007778,0.027181,2.4e-05,0.0,0.182503
162,51,C2,0.0,0.996559,0.0,0.327851,0.9913,0.0,0.008711,0.225677,0.156432,0.0,0.188863
163,55,C2,0.0,0.96283,0.0,0.31331,0.75787,0.0,0.007769,1.261784,2.7e-05,0.0,0.182443
164,56,C2,0.0,0.945946,0.0,0.0,0.725775,0.267538,0.018969,1.312805,2e-06,0.000487,0.268956
165,57,C2,0.0,0.999461,0.0,0.0,0.419183,0.02272,0.025058,0.035678,0.0,0.0,0.325215
166,58,C2,0.0,0.951148,0.000382,0.0,0.631488,0.256676,0.022151,1.328106,0.0,0.000284,0.297575
167,63,C2,0.0,0.874391,0.069911,0.261099,0.767808,0.1192,0.024444,0.999993,0.000135,0.0,0.319267
168,64,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
169,66,C2,0.0,0.696474,0.0,0.0,0.625884,0.61984,0.013707,1.324652,0.0,0.883378,0.225529
170,68,C2,0.0,0.802446,0.0,0.0,0.719834,0.993333,0.006524,1.324652,1e-06,2e-06,0.174203
171,69,C2,0.0,0.986981,0.0,0.0,0.605146,0.993333,0.006044,0.758098,0.0,2e-06,0.171096
172,70,C2,0.0,0.998999,0.0,0.326751,0.674534,0.871484,0.007351,0.066217,0.0,0.00131,0.179647
173,72,C2,0.0,0.501773,0.0,0.0,0.401254,0.993333,0.005911,1.324652,0.0,2e-06,0.17024
174,77,C2,0.0,0.99959,0.0,0.0,0.760107,0.993333,0.006347,0.027181,5.6e-05,2e-06,0.173047
175,78,C2,0.0,0.986178,0.0,0.0,0.60525,0.993333,0.006036,0.79305,0.0,2e-06,0.171039
176,79,C2,0.0,0.986178,0.0,0.0,0.60525,0.993333,0.006,0.79305,0.0,2e-06,0.170811
177,87,C2,0.0,0.946618,0.023473,0.31078,0.666205,0.063573,0.025369,1.344615,0.0,0.0,0.328256
178,92,C2,0.0,0.988399,0.0,0.0,0.597133,0.993333,0.006062,0.692378,0.0,2e-06,0.171211
179,93,C2,0.0,0.988399,0.0,0.0,0.597133,0.993333,0.006018,0.692378,0.0,2e-06,0.170925
180,96,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
181,98,C2,0.0,0.945946,0.0,0.0,0.725127,0.267538,0.018569,1.312805,2e-06,0.000487,0.265483
