mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,rule,class,rank
0.802446,0.0,0.0,0.719382,1.0,0.0,0.993333,0.006569,0.0,1.324652,1e-06,0.0,0.004438,0.174492,220,C2,149
0.802446,0.0,0.0,0.719382,1.0,0.0,0.993333,0.006569,0.0,1.324652,1e-06,0.0,0.004438,0.174492,221,C2,150
0.99959,0.0,0.0,0.760107,1.0,0.0,0.993333,0.006347,0.0,0.027181,5.6e-05,0.0,0.004438,0.173047,77,C2,151
0.945946,0.0,0.0,0.725775,0.343683,0.334398,0.267538,0.018969,0.0,1.312805,2e-06,0.995445,0.000487,0.268956,56,C2,152
0.945946,0.0,0.0,0.725127,0.343672,0.331766,0.267538,0.018569,0.0,1.312805,2e-06,0.995311,0.000487,0.265483,98,C2,153
0.999461,0.0,0.19702,0.691381,0.423227,0.0,0.863538,0.007431,0.0,0.035678,0.0,0.0,0.248292,0.18018,156,C2,154
0.89328,0.072238,0.271261,0.802358,0.54303,0.529914,0.135093,0.02472,0.0,0.999954,0.00153,0.999697,0.0,0.321932,17,C2,155
0.89328,0.072238,0.271261,0.802358,0.542874,0.529435,0.135093,0.024036,0.0,0.999954,0.00153,0.999697,0.0,0.315335,3,C2,156
0.997331,0.0,0.318485,0.679512,0.456429,0.0,0.863538,0.007502,0.0,0.175762,0.0,0.0,0.248292,0.180655,157,C2,157
0.999128,0.0,0.327697,0.688725,0.481177,0.0,0.863538,0.007449,0.0,0.057739,0.0,0.0,0.248292,0.180298,28,C2,158
0.929653,0.060832,0.310962,0.758672,0.478249,0.0,0.193369,0.007804,0.0,0.99824,3.1e-05,0.0,8e-06,0.182683,33,C2,159
0.999461,0.0,0.197282,0.678398,0.397105,0.0,0.871484,0.00736,0.0,0.035678,0.0,0.0,0.209319,0.179706,198,C2,160
0.946783,0.040167,0.31901,0.758826,0.448134,0.0,0.188071,0.00832,0.0,0.992291,2.7e-05,0.0,6e-06,0.186179,123,C2,161
0.957381,0.0,0.0,0.705023,0.385265,0.365254,0.235751,0.02024,0.0,1.287829,0.0,0.997748,9.5e-05,0.280178,227,C2,162
0.997767,0.0,0.320361,0.668144,0.431862,0.0,0.871484,0.007307,0.0,0.147292,0.0,0.0,0.209319,0.179351,199,C2,163
0.957381,0.0,0.0,0.702765,0.38543,0.354414,0.235751,0.020391,0.0,1.287829,0.0,0.997427,9.5e-05,0.28153,185,C2,164
0.998999,0.0,0.326751,0.674534,0.381861,0.0,0.871484,0.007351,0.0,0.066217,0.0,0.0,0.209319,0.179647,70,C2,165
0.702481,0.0,0.0,0.629807,0.093305,0.083564,0.614542,0.013538,0.0,1.324652,0.0,0.500324,0.910997,0.224217,194,C2,166
0.696474,0.0,0.0,0.625884,0.091264,0.081721,0.61984,0.013707,0.0,1.324652,0.0,0.486568,0.883378,0.225529,66,C2,167
0.696474,0.0,0.0,0.625884,0.091264,0.081721,0.61984,0.013707,0.0,1.324652,0.0,0.486568,0.883378,0.225529,189,C2,168
0.69639,0.0,0.0,0.625728,0.091356,0.078554,0.61984,0.013458,0.0,1.324652,0.0,0.47409,0.883378,0.223597,152,C2,169
0.690987,0.0,0.0,0.622895,0.088981,0.07391,0.625138,0.013547,0.0,1.324652,0.0,0.447123,0.852848,0.224285,188,C2,170
0.874391,0.069911,0.261099,0.767808,0.575465,0.550727,0.1192,0.024622,0.0,0.999993,0.000135,0.999536,0.0,0.320985,119,C2,171
0.874391,0.069911,0.261099,0.767808,0.575605,0.550676,0.1192,0.024444,0.0,0.999993,0.000135,0.999535,0.0,0.319267,63,C2,172
0.676323,0.0,0.0,0.613812,0.083724,0.078746,0.638382,0.012996,0.0,1.324652,0.0,0.449595,0.766219,0.220038,230,C2,173
