mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.732585,0.138022,0.611057,0.611542,0.030805,0.02086,0.654683,0.102987,1.0,0.0,0.061412,0.646779,0.998218,0.039649,2.28,10,0.378766
0.749945,0.13902,0.690838,0.621875,0.063403,0.049316,0.647139,0.103846,1.0,0.0,0.256139,0.70317,0.997046,0.179577,2.28,11,0.087669
0.72152,0.129471,0.668519,0.60494,0.08396,0.047584,0.6668,0.102619,1.0,0.0,0.303653,0.731946,0.998629,0.221953,2.28,12,0.022715
0.733799,0.135129,0.690272,0.613204,0.070074,0.044621,0.658041,0.103403,1.0,0.0,0.253294,0.667286,0.997687,0.168628,2.28,13,0.141323
0.742255,0.140108,0.700557,0.617661,0.068173,0.044603,0.649528,0.1036,1.0,0.0,0.248097,0.685458,0.997411,0.16962,2.28,14,0.01541
0.750742,0.140989,0.717878,0.623125,0.060188,0.048081,0.643785,0.104158,1.0,0.0,0.240602,0.727709,0.996549,0.174484,2.28,15,0.093882
0.741597,0.138198,0.661385,0.617473,0.04929,0.031446,0.650321,0.103595,1.0,0.0,0.139003,0.679542,0.997419,0.094214,2.28,16,0.260329
0.727622,0.126068,0.63686,0.610384,0.070317,0.058335,0.6598,0.10344,1.0,0.0,0.318405,0.680447,0.997636,0.216146,2.28,17,0.155282
0.742261,0.134278,0.688314,0.618252,0.061507,0.054462,0.652345,0.103732,1.0,0.0,0.271915,0.66439,0.997218,0.180155,2.28,18,0.168791
0.744803,0.129558,0.635867,0.618976,0.040852,0.034126,0.652182,0.10368,1.0,0.0,0.127239,0.665612,0.997295,0.084463,2.28,19,0.31793
0.802865,0.136695,0.782153,0.656223,0.034185,0.033974,0.607533,0.107073,1.0,0.0,0.107707,0.942494,0.990045,0.100502,2.29,0,0.063605
0.786251,0.140972,0.744226,0.647338,0.041403,0.03917,0.617878,0.106488,1.0,0.0,0.146109,0.893967,0.991615,0.129521,2.29,1,0.042456
0.796497,0.136459,0.773834,0.653269,0.037032,0.026728,0.615294,0.107117,1.0,0.0,0.092498,0.907269,0.989922,0.083075,2.29,2,0.112367
0.785522,0.133843,0.735851,0.647831,0.043084,0.037163,0.623037,0.107078,1.0,0.0,0.144308,0.86528,0.990029,0.123622,2.29,3,0.105496
0.789745,0.135832,0.682122,0.649464,0.019408,0.019365,0.620148,0.106829,1.0,0.0,0.036661,0.881679,0.990717,0.032023,2.29,4,0.31882
0.794128,0.129372,0.750466,0.652176,0.041467,0.038543,0.617185,0.107018,1.0,0.0,0.144182,0.897605,0.990197,0.128149,2.29,5,0.009933
0.793317,0.13287,0.695915,0.651331,0.03202,0.031743,0.618928,0.107064,1.0,0.0,0.095129,0.888349,0.99007,0.083669,2.29,6,0.209359
0.773519,0.136687,0.725093,0.63987,0.045184,0.036719,0.627413,0.106097,1.0,0.0,0.148843,0.838933,0.992593,0.123945,2.29,7,0.125384
0.779166,0.121909,0.696466,0.643489,0.046588,0.040679,0.627181,0.106394,1.0,0.0,0.167745,0.840373,0.991857,0.139821,2.29,8,0.103198
0.792323,0.132117,0.745233,0.652021,0.040147,0.030806,0.615845,0.107201,1.0,0.0,0.113855,0.904495,0.989682,0.101919,2.29,9,0.027834
0.793392,0.140035,0.764379,0.651977,0.037226,0.036819,0.613144,0.107059,1.0,0.0,0.125446,0.917759,0.990084,0.113988,2.29,10,0.072171
0.777186,0.129431,0.681679,0.642676,0.042047,0.037018,0.631337,0.106301,1.0,0.0,0.140712,0.813916,0.99209,0.113622,2.29,11,0.196755
0.804734,0.131419,0.773909,0.657432,0.033331,0.031474,0.60556,0.107218,1.0,0.0,0.097973,0.950241,0.989633,0.092133,2.29,12,0.026844
0.784464,0.127019,0.738733,0.6476,0.043403,0.04031,0.619969,0.106891,1.0,0.0,0.156362,0.882667,0.990547,0.136711,2.29,13,0.025978
0.792745,0.132214,0.744262,0.652502,0.042532,0.038145,0.618254,0.107188,1.0,0.0,0.146095,0.891965,0.989719,0.128972,2.29,14,0.016938
0.787048,0.135134,0.724253,0.649071,0.036284,0.03533,0.621413,0.106951,1.0,0.0,0.11798,0.874603,0.990382,0.102193,2.29,15,0.183874
0.779124,0.136912,0.738072,0.643678,0.045457,0.039468,0.626915,0.106369,1.0,0.0,0.159784,0.842018,0.99192,0.133454,2.29,16,0.103669
0.77736,0.128202,0.669512,0.643573,0.038955,0.037567,0.628212,0.106558,1.0,0.0,0.133158,0.83394,0.991434,0.110094,2.29,17,0.19973
0.775726,0.137952,0.743846,0.641336,0.053541,0.048189,0.632369,0.106301,1.0,0.0,0.21918,0.80714,0.99209,0.175509,2.29,18,0.017059
0.780051,0.132753,0.706834,0.643565,0.04473,0.041039,0.622506,0.106256,1.0,0.0,0.163172,0.868358,0.992204,0.140587,2.29,19,0.031906
0.821618,0.130233,0.779538,0.672143,0.029631,0.02963,0.599551,0.109104,1.0,0.0,0.082901,0.97058,0.98356,0.079139,2.3,0,0.009222
0.820935,0.124623,0.775684,0.671292,0.029168,0.024982,0.5995,0.108988,1.0,0.0,0.069428,0.970729,0.983971,0.066316,2.3,1,0.06965
0.821416,0.12196,0.769734,0.672224,0.026441,0.026439,0.593549,0.10929,1.0,0.0,0.066775,0.985761,0.982889,0.064698,2.3,2,0.029569
0.822631,0.133083,0.78671,0.672162,0.025708,0.024458,0.602365,0.109171,1.0,0.0,0.060329,0.961676,0.98332,0.05705,2.3,3,0.163856
0.835675,0.127859,0.787653,0.679612,0.020136,0.020099,0.585022,0.109633,1.0,0.0,0.039403,0.998032,0.981612,0.038603,2.3,4,0.099386
0.827352,0.121926,0.76613,0.674694,0.025397,0.024457,0.592638,0.10922,1.0,0.0,0.059628,0.9876,0.983141,0.057895,2.3,5,0.060848
0.832553,0.125547,0.787859,0.678284,0.020838,0.020764,0.58323,0.109674,1.0,0.0,0.04205,0.999185,0.981455,0.041236,2.3,6,0.026774
0.835433,0.125196,0.777191,0.679062,0.020244,0.020174,0.587505,0.109396,1.0,0.0,0.039752,0.995609,0.982497,0.038885,2.3,7,0.122095
0.817951,0.123655,0.760982,0.671858,0.025831,0.02578,0.594459,0.109377,1.0,0.0,0.063745,0.9838,0.982569,0.061619,2.3,8,0.075583
0.819591,0.130826,0.78478,0.671734,0.027259,0.022707,0.59557,0.109391,1.0,0.0,0.059392,0.981238,0.982515,0.057259,2.3,9,0.016227
0.831801,0.130888,0.77125,0.677143,0.018636,0.018474,0.590107,0.109314,1.0,0.0,0.033653,0.992051,0.9828,0.032812,2.3,10,0.176867
0.802352,0.124386,0.723625,0.661512,0.035981,0.029772,0.610246,0.10872,1.0,0.0,0.099794,0.931025,0.984908,0.091509,2.3,11,0.054704
0.819842,0.121428,0.771912,0.670341,0.028291,0.022498,0.598501,0.10901,1.0,0.0,0.06098,0.973613,0.983896,0.058415,2.3,12,0.062949
0.825249,0.127642,0.771993,0.674041,0.025719,0.025147,0.592555,0.109342,1.0,0.0,0.061985,0.98776,0.982698,0.060167,2.3,13,0.00641
0.810787,0.128712,0.755818,0.665707,0.031925,0.03156,0.606494,0.10871,1.0,0.0,0.094354,0.946638,0.984941,0.087974,2.3,14,0.097466
0.842714,0.120665,0.787319,0.685392,0.018903,0.018875,0.584997,0.110361,1.0,0.0,0.034847,0.998051,0.978761,0.03404,2.3,15,0.127002
0.825626,0.131355,0.789623,0.675302,0.025909,0.02589,0.59326,0.109639,1.0,0.0,0.064191,0.986357,0.981588,0.062149,2.3,16,0.063115
0.816001,0.120773,0.754508,0.670487,0.029711,0.029111,0.603207,0.10953,1.0,0.0,0.081739,0.958797,0.982001,0.076961,2.3,17,0.102765
0.841002,0.128751,0.802137,0.683714,0.024232,0.023554,0.589638,0.110175,1.0,0.0,0.054972,0.992769,0.979507,0.053456,2.3,18,0.052371
0.82869,0.128923,0.778216,0.67552,0.025859,0.025721,0.592638,0.10943,1.0,0.0,0.063671,0.987599,0.982371,0.061773,2.3,19,0.040807
