condition,trial,stride,T_eff,C_a,mi1,decay,tc_mean,gzip_ratio,op_up,op_down,mean_H,wH_a,wOPs_a,wOPt_a,wT_a,wG_a
trained_random,3,4,50,0.00553,0.03074,0.011251,0.548776,0.232214,0.284805,0.999516,0.999456,0.005466,0.998143,0.033395,0.999725,0.98095
trained_random,3,8,25,0.005559,0.027114,0.02659,0.532604,0.23224,0.284856,0.999649,0.999472,0.005319,0.996815,0.068766,0.999778,0.98096
trained_random,3,16,12,0.008889,0.070867,0.041919,0.509215,0.233073,0.296299,0.999283,0.999278,0.007286,1.001845,0.241648,0.999815,0.981271
trained_random,4,1,200,0.004443,0.021344,0.015108,0.567969,0.232852,0.331889,0.999726,0.999563,0.00439,1.000121,0.031526,0.999623,0.981189
trained_random,4,2,100,0.004132,0.021178,0.011943,0.560846,0.23276,0.331533,0.999731,0.99959,0.004111,1.000047,0.024804,0.999667,0.981155
trained_random,4,4,50,0.004357,0.019915,0.00884,0.550703,0.232005,0.323332,0.999621,0.999565,0.004365,1.000684,0.017331,0.999717,0.980871
trained_random,4,8,25,0.00487,0.048105,0.030957,0.523281,0.232083,0.32318,0.999443,0.999564,0.004369,1.002458,0.134146,0.999798,0.9809
trained_random,4,16,12,0.003569,0.001559,0.0,0.511318,0.232772,0.331416,0.99936,0.999638,0.003624,1.003755,0.0,0.999814,0.981159
rand_coherent,0,1,200,0.018499,0.370362,0.050772,0.814023,0.23224,0.161361,0.998817,0.998602,0.014108,0.935522,0.467597,0.952657,0.98096
rand_coherent,0,2,100,0.02084,0.385077,0.06406,0.807018,0.232161,0.166411,0.998753,0.998544,0.014695,0.943243,0.564793,0.958718,0.98093
rand_coherent,0,4,50,0.015531,0.293721,0.00725,0.792734,0.232109,0.156068,0.998555,0.998385,0.016311,0.929978,0.071972,0.968817,0.98091
rand_coherent,0,8,25,0.016143,0.233651,0.0,0.769271,0.232292,0.133802,0.998081,0.998135,0.018852,0.890382,0.0,0.980381,0.980979
rand_coherent,0,16,12,0.021643,0.22458,0.161841,0.720753,0.232071,0.206057,0.998626,0.99883,0.011789,0.98181,0.903912,0.992519,0.980896
rand_coherent,1,1,200,0.02366,0.395872,0.063366,0.814668,0.232383,0.05613,0.997669,0.997706,0.023189,0.532246,0.560154,0.952058,0.981013
rand_coherent,1,2,100,0.024275,0.392856,0.062274,0.806068,0.232031,0.064701,0.997754,0.997771,0.022533,0.592103,0.5526,0.95948,0.980881
rand_coherent,1,4,50,0.02184,0.325976,0.062738,0.791745,0.231849,0.047068,0.997745,0.997762,0.02261,0.461301,0.554605,0.969418,0.980812
rand_coherent,1,8,25,0.030174,0.304229,0.103438,0.768594,0.231927,0.080608,0.997713,0.997873,0.021451,0.690287,0.772132,0.980643,0.980841
rand_coherent,1,16,12,0.000406,0.297647,0.0,0.722857,0.231671,0.0,0.998011,0.997922,0.020981,0.01989,0.0,0.992199,0.980744
